,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire serviced apartment,Washington,A place of your own | 1BR in Washington,3,1,No,1,1,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,NaN,NaN,108,https://www.airbnb.com/rooms/45136008?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
1,Entire condominium,Washington,New Private Space in Columbia Heights/Shaw/U-St.,2,1,No,1,1,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,4.84,251,88,https://www.airbnb.com/rooms/17979497?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
2,Entire serviced apartment,Washington,Relax in comfort | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,NaN,NaN,129,https://www.airbnb.com/rooms/44617012?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
3,Private room,Washington,Private Room in Chic Shaw Rowhouse + Parking,1,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,55,https://www.airbnb.com/rooms/46256791?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
4,Private room,Washington,Gorgeous historical bedroom,1,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.42,289,45,https://www.airbnb.com/rooms/15339338?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
5,Private room,Washington,Large Bedroom with Beautiful Light,2,NaN,Yes,1,2,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,4.82,11,45,https://www.airbnb.com/rooms/40175582?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
6,Private room,Washington,"Small Cozy Room in Brookland, N.E.",1,1,No,1,1,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,4.87,127,24,https://www.airbnb.com/rooms/19737092?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
7,Private room,Washington,Ivy City Private Gated Modern Condo,2,1,No,1,1,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,NaN,NaN,60,https://www.airbnb.com/rooms/22589381?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
8,Entire serviced apartment,Washington,Live + Work + Stay + Easy | Studio in Washington,1,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,NaN,NaN,100,https://www.airbnb.com/rooms/45136246?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
9,Entire apartment,Washington,Sojourn on 5th #302,3,1,No,1,1,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,NaN,NaN,115,https://www.airbnb.com/rooms/45726862?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
10,Entire serviced apartment,Washington,Live + Work + Stay + Easy | 1BR in Washington,3,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,NaN,NaN,124,https://www.airbnb.com/rooms/45863133?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
11,Entire apartment,Washington,Heart of Georgetown charming apartment!,2,1,No,2,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.90,110,74,https://www.airbnb.com/rooms/19872890?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
12,Entire guest suite,Washington,Snuggle up on the Velvet Sofa at a Capitol Hill Basement Pad,4,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.87,89,65,https://www.airbnb.com/rooms/plus/25012071?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
13,Entire guest suite,Washington,Historic Rowhouse English Basement 1BR,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.59,22,75,https://www.airbnb.com/rooms/38581209?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
14,Entire serviced apartment,Washington,Entire apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,NaN,NaN,105,https://www.airbnb.com/rooms/45769250?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
15,Entire apartment,Washington,Centrally Located Modern DC Home,4,1,No,NaN,1,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,4.57,28,100,https://www.airbnb.com/rooms/42072689?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
16,Entire apartment,Washington,Kalorama Suite,4,1,No,2,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.74,171,81,https://www.airbnb.com/rooms/24771122?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
17,Entire apartment,Washington,Classic 'Old World' Apartment,3,1,No,1,1,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,NaN,NaN,71,https://www.airbnb.com/rooms/11990568?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
18,Private room,Washington,Simple Bare Necessities,1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.57,186,36,https://www.airbnb.com/rooms/26281304?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
19,Entire serviced apartment,Washington,Cozy apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,NaN,NaN,162,https://www.airbnb.com/rooms/46010553?previous_page_section_name=1000&federated_search_id=a0f4d7ac-0b56-4681-baa6-598044d0c87c
