,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Washington,The Dupont Diamond,4,1,No,2,1,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,4.86,51,50,https://www.airbnb.com/rooms/2559242?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
1,Private room,Washington,Brand new studio-apt 5 min from metro!,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.77,31,52,https://www.airbnb.com/rooms/42503052?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
2,Entire townhouse,Washington,"Entire Luxury 3BR 2BA Unit,Street Parking, NOMA",11,3,No,7,2,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,5.0,5,86,https://www.airbnb.com/rooms/45239855?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
3,Entire apartment,Washington,Chic studio apt 9 minute walk to WhiteHouse,3,1,No,0,1,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,4.83,58,72,https://www.airbnb.com/rooms/40616354?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
4,Private room,Washington,"Cozy /spaceous,private  basement",4,1,No,1,1,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,4.12,50,44,https://www.airbnb.com/rooms/40240902?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
5,Entire townhouse,Washington,Eastern Market/Capitol Hill Apartment w/ parking,5,1,No,2,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.95,107,118,https://www.airbnb.com/rooms/39726649?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
6,Entire apartment,Washington,The Ultimate 2020 Waterfront View Experience,2,NaN,Yes,1,1,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,4.50,6,239,https://www.airbnb.com/rooms/45275513?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
7,Private room,Washington,Liven executive suite,2,1,No,1,1,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4.95,64,99,https://www.airbnb.com/rooms/41400256?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
8,Entire apartment,Washington,"Logan Circle modern one-bedroom apartment, parking",2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,5.0,39,159,https://www.airbnb.com/rooms/30037580?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
9,Shared room,Washington,*DC SHARED APARTMENT IN THE HEART OF THE CITY A,2,1,No,4,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.56,97,29,https://www.airbnb.com/rooms/21150859?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
10,Entire apartment,Washington,Charming Historic Row-House Apt -Convention Center,3,1,No,2,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.83,193,71,https://www.airbnb.com/rooms/15967879?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
11,Tiny house,Washington,Urban Oasis Casita - DC Tiny House Utopia,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.96,28,99,https://www.airbnb.com/rooms/21281978?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
12,Entire house,Washington,Luxuriously Renovated Home in Great 14th St Location,8,2,No,4,2,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,128,228,https://www.airbnb.com/rooms/plus/25393087?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
13,Entire apartment,Washington,Sonder | Studio Near Whole Foods | Weekly and Monthly Specials,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,NaN,NaN,128,https://www.airbnb.com/rooms/46277339?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
14,Private room,Washington,"Adams Morgan Hot Spot!..For Dates, Fam, or Friends",8,NaN,Yes,2,1,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,5.0,4,176,https://www.airbnb.com/rooms/46070701?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
15,Entire apartment,Washington,BLACK SWAN | 14th & R | Executive Studio,2,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,4.83,6,98,https://www.airbnb.com/rooms/44519348?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
16,Entire apartment,Washington,"Modern 1BR in Heart of U ST, by Metro",4,1,No,2,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.92,255,83,https://www.airbnb.com/rooms/16639486?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
17,Entire guest suite,Washington,Charming Washington DC Garden Suite,5,1,No,3,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.89,123,75,https://www.airbnb.com/rooms/28717282?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
18,Entire townhouse,Washington,"NEW Superb, Designed, Historic House in Georgetown",8,3,No,5,3.5,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,5.0,38,467,https://www.airbnb.com/rooms/37303418?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
19,Entire house,Washington,Dramatically Designed Victorian House in a Hip Neighborhood,6,2,No,2,2.5,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.78,207,160,https://www.airbnb.com/rooms/plus/10097934?previous_page_section_name=1000&federated_search_id=496ac422-3bdd-484f-bdd2-4f1953e93c24
