,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Washington,Private Suite in the <3 of DC,4,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.89,173,105,https://www.airbnb.com/rooms/30983633?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
1,Private room,Washington,Homely Private Room&Bath with Private Entrance,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.52,23,65,https://www.airbnb.com/rooms/35284166?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
2,Private room,Washington,Cozy Comfortable Basement/Patio Deck,2,NaN,Yes,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.82,11,34,https://www.airbnb.com/rooms/40342072?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
3,Entire apartment,Washington,LOVE DC UNIT 01 [BASEMENT],2,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.92,38,110,https://www.airbnb.com/rooms/24402356?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
4,Hotel room,Washington,Historic Dupont Circle Inn ~ Lola's Room,2,NaN,Yes,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.82,318,70,https://www.airbnb.com/rooms/19142630?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
5,Entire apartment,Washington,BLACK SWAN | 14th & R | Executive Flat,4,1,No,1,1,No,No,No,No,No,No,No,No,Yes,No,No,No,4.75,8,102,https://www.airbnb.com/rooms/44519362?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
6,Entire serviced apartment,Washington,A place of your own | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,101,https://www.airbnb.com/rooms/45456021?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
7,Entire apartment,Washington,"1 Bedrm, 3rd Fl, Dwntn,3 blks Convention Ctr/Metro",4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.93,57,64,https://www.airbnb.com/rooms/16515949?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
8,Entire apartment,Washington,Cozy DC apartment great for longer stays,3,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.49,194,49,https://www.airbnb.com/rooms/6247860?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
9,Private room,Washington,"Cozy /spaceous,private  basement",4,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.12,50,44,https://www.airbnb.com/rooms/40240902?previous_page_section_name=1000&federated_search_id=d464e181-b5e3-423e-b143-5b915ae8f2c0
