,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Baltimore,Beautiful Rowhome - Clean and Cozy (near JHH),2,1,No,1,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.93,15,35,https://www.airbnb.com/rooms/20417566?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
1,Entire guesthouse,Baltimore,ENTIRE GUEST HOUSE NEAR BWI W/ PARKING,4,2,No,4,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.80,245,59,https://www.airbnb.com/rooms/29960320?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
2,Private room,Baltimore,Cozy bedroom near bayview and Hopkins,2,1,No,1,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,40,https://www.airbnb.com/rooms/39299503?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
3,Private room,Capitol Heights,Cozy Cubby Free Parking,2,1,No,NaN,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.14,14,21,https://www.airbnb.com/rooms/40612557?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
4,Entire condominium,Bel Air,BriellaBella’s,2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,75,https://www.airbnb.com/rooms/40872387?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
5,Farm stay,Cambridge,"Blackwater ""She Shed"" Tiny House",2,1,No,0,1,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,4.33,3,65,https://www.airbnb.com/rooms/45589584?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
6,Private room,Baltimore,Charming Art-Filled House - Skylight Room,1,1,No,1,1,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,10,35,https://www.airbnb.com/rooms/21753682?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
7,Entire cabin,Oakland,Lake access out the front door!,8,4,No,6,2,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,4.95,65,194,https://www.airbnb.com/rooms/27525232?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
8,Private room,Baltimore,Relaxing Master Suite in Colorful Home,2,1,No,1,1,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,NaN,NaN,33,https://www.airbnb.com/rooms/45953387?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
9,Private room,Baltimore,Kay's Colonial style home 1person per room,1,1,No,0,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,26,https://www.airbnb.com/rooms/46126356?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
10,Private room,Baltimore,A Living Canvas,2,1,No,1,1,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,4.90,10,42,https://www.airbnb.com/rooms/42237503?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
11,Entire guest suite,Silver Spring,Secluded Basement Apt Kitchenette Free Disney+Hulu,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.83,303,45,https://www.airbnb.com/rooms/5856667?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
12,Private room,Ocean City,Private Room Only “B”,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.81,69,55,https://www.airbnb.com/rooms/25489773?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
13,Private room,Baltimore,Single Room w/ bath in finished basement near BWI,1,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.74,145,43,https://www.airbnb.com/rooms/17157339?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
14,Entire cabin,Middletown,Charming vintage cabin in the ❤️ of Middletown.,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,110,118,https://www.airbnb.com/rooms/32518458?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
15,Private room,Baltimore,3 Luxury Living For Grad Students,1,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.89,18,20,https://www.airbnb.com/rooms/13710788?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
16,Private room,Beltsville,Beltsville Getaway - Mini Suite Studio,2,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.93,29,27,https://www.airbnb.com/rooms/42659662?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
17,Private room,Linthicum Heights,Private Entrance: Minutes from BWI,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.89,181,55,https://www.airbnb.com/rooms/9754420?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
18,Private room,Glen Burnie,"Private Room-Creek Side, Close to BWI Airport",1,1,No,1,1.5,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.80,20,35,https://www.airbnb.com/rooms/40082285?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
19,Private room,Baltimore,Bedroom with private attached bath,3,1,No,1,1.5,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,5.0,9,30,https://www.airbnb.com/rooms/39002516?previous_page_section_name=1000&federated_search_id=3d5a5c10-cb97-4d96-9a65-72ec73b4fd19
