,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Barn,Independence,Rustic Rooster Room (at Dream Rock Silo),6,NaN,Yes,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,47,150,https://www.airbnb.com/rooms/36513503?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
1,Entire guest suite,Williamsburg,Williamsburg Resort,4,2,No,3,2,No,Yes,No,No,No,No,No,No,No,No,No,No,NaN,NaN,60,https://www.airbnb.com/rooms/36151046?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
2,Entire cabin,Blacksburg,Cabin on the Creek,2,1,No,1,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.95,42,82,https://www.airbnb.com/rooms/41194144?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
3,Entire bungalow,Marion,Hungry Mother Creekside Cabin,5,2,No,3,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.86,79,85,https://www.airbnb.com/rooms/39754347?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
4,Bus,Dublin,Camping in A Skoolie Bus#23 Bunk House VT 20mins,6,1,No,1,1,No,No,No,No,No,Yes,No,No,No,No,No,No,4.73,95,40,https://www.airbnb.com/rooms/35680673?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
5,Entire guest suite,Lynchburg,Newly Renovated Private Suite near LU & Randolph,2,1,No,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.94,69,41,https://www.airbnb.com/rooms/33853384?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
6,Entire cabin,Luray,Foggy River Lodge on the Shenandoah,6,2,No,0,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.73,125,172,https://www.airbnb.com/rooms/6728827?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
7,Entire cottage,Independence,Healing Water Falls,2,1,No,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.98,65,154,https://www.airbnb.com/rooms/28222926?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
8,Entire condominium,Massanutten,"Woodstone at Massanutten 2BR Suite, FRIDAY Check-In",6,2,No,4,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,NaN,NaN,60,https://www.airbnb.com/rooms/45490768?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
9,Entire cabin,Madison Heights,Old Pine River Cabin,6,3,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,4.87,31,257,https://www.airbnb.com/rooms/43443779?previous_page_section_name=1000&federated_search_id=006a2e82-23e1-4d65-ac65-6f65d542b4f6
