,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Washington,English-Style Basement Apartment in a Historic Row House,3,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.93,286,110,https://www.airbnb.com/rooms/plus/7952701?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
1,Entire apartment,Washington,Comfortable Space at a Great Location,5,2,No,2,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.86,7,76,https://www.airbnb.com/rooms/45866645?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
2,Entire apartment,Washington,@ 14th & U – 99.9% Clean - 99 Walk Score - Metro,3,1,No,2,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.88,562,124,https://www.airbnb.com/rooms/15373088?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
3,Entire apartment,Washington,CENTRALLY-LOCATED + WELL-DECORATED + SOLAR-POWERED!,3,1,No,1,1,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,4.97,33,104,https://www.airbnb.com/rooms/43415299?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
4,Entire house,Washington,Awesome modern house on Capitol Hil,6,3,No,4,3.5,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4.93,277,151,https://www.airbnb.com/rooms/10038536?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
5,Entire guest suite,Washington,Modern Basement on Park Sparkling Clean!,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4.97,63,110,https://www.airbnb.com/rooms/16755291?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
6,Entire apartment,Washington,Bright Capitol Hill English Basement Apartment,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.92,313,133,https://www.airbnb.com/rooms/4922023?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
7,Entire apartment,Washington,Unbeatable Price! Perfect Private DC Getaway,4,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.67,119,62,https://www.airbnb.com/rooms/23370625?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
8,Entire apartment,Washington,BLACK SWAN | 14th & R | Executive Flat,3,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,4.67,3,91,https://www.airbnb.com/rooms/44519337?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
9,Entire townhouse,Washington,MODERN HOME NEAR CAPITOL HILL ✩✩✩✩✩ WALK TO METRO SUBWAY,6,3,No,3,2.5,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.89,215,130,https://www.airbnb.com/rooms/20213058?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
10,Entire condominium,Washington,Centrally Located Beautiful Condo,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.84,56,87,https://www.airbnb.com/rooms/41528513?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
11,Entire apartment,Washington,"Logan Circle modern one-bedroom apartment, parking",2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,5.0,39,159,https://www.airbnb.com/rooms/30037580?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
12,Entire apartment,Washington,DuPont Circle/Kalorama Luxury Apartment Suite 7,4,2,No,3,2,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.95,56,146,https://www.airbnb.com/rooms/36259395?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
13,Entire apartment,Washington,Perfect DC Getaway! Location that can't be beat!,4,1,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.82,133,73,https://www.airbnb.com/rooms/25280093?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
14,Entire townhouse,Washington,Ease & Comfort - feel at home in the heart of DC,6,3,No,3,2.5,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.95,110,182,https://www.airbnb.com/rooms/25827474?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
15,Entire townhouse,Washington,"Affordable Townhouse on M Street, DC",7,2,No,3,1.5,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4.93,55,199,https://www.airbnb.com/rooms/39445808?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
16,Entire apartment,Washington,Comfy Contemporary Apartment Near H Street,4,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.90,291,83,https://www.airbnb.com/rooms/plus/9641861?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
17,Entire guest suite,Washington,Historic Brentwood location for best value!!,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.81,36,75,https://www.airbnb.com/rooms/42296497?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
18,Entire apartment,Georgetown,LOOK NO FURTHER - this is your home away from home,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.83,281,123,https://www.airbnb.com/rooms/5075773?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
19,Entire apartment,Washington,Little Oasis in the middle of the nation's capital,4,NaN,Yes,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.51,80,50,https://www.airbnb.com/rooms/39724534?previous_page_section_name=1000&federated_search_id=5b24057c-a7ae-4d28-8d97-b3adacae94f9
