,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire guest suite,Washington,Beautifully Renovated DC Row Home,4,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.95,64,83,https://www.airbnb.com/rooms/38730401?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
1,Entire townhouse,Washington,Comfortable Studio Apartment,4,NaN,Yes,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.98,167,75,https://www.airbnb.com/rooms/3633359?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
2,Private room,Washington,Large room in  Historic building.5mn walk to metro,2,1,No,1,2,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.54,66,38,https://www.airbnb.com/rooms/18509858?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
3,Entire apartment,Washington,"Spacious, Modern, Affordable Apt near Downtown D.C",4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.33,42,67,https://www.airbnb.com/rooms/36238281?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
4,Entire serviced apartment,Washington,Entire apartment for you | Studio in Washington,1,NaN,Yes,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,93,https://www.airbnb.com/rooms/45801282?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
5,Private room,Washington,"Private bedroom near Echostage, National Arboretum",4,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,13,38,https://www.airbnb.com/rooms/21297092?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
6,Entire apartment,Washington,GWU Dreamer,3,NaN,Yes,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.86,22,63,https://www.airbnb.com/rooms/43950218?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
7,Entire serviced apartment,Washington,Entire apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,104,https://www.airbnb.com/rooms/43829642?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
8,Entire apartment,Washington,Super Hip & Stylish DC Escape! Close to everything,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.86,157,73,https://www.airbnb.com/rooms/23780677?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
9,Entire apartment,Washington,Cozy in Foggy,2,NaN,Yes,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.84,408,67,https://www.airbnb.com/rooms/13199849?previous_page_section_name=1000&federated_search_id=d7e04263-ad52-4d77-b98c-93ac922ea246
