,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire cabin,Mount Jackson,The Woodpecker's Chalet,6,2,No,3,1.5,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,165,https://www.airbnb.com/rooms/45883028?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
1,Entire guesthouse,Afton,Rusty’s Retreat Tiny Home: Supporting Dog Rescue,2,NaN,Yes,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,222,91,https://www.airbnb.com/rooms/24604232?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
2,Entire cabin,Jarratt,Harrell’s Cabin,4,1,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.85,226,109,https://www.airbnb.com/rooms/34065029?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
3,Entire cabin,Dayton,Serenity by the Stream,5,2,No,3,1.5,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,73,128,https://www.airbnb.com/rooms/39777552?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
4,Farm stay,Scottsville,The Scottsville Brown Barn on The Sheep Farm,4,1,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,40,89,https://www.airbnb.com/rooms/44117303?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
5,Entire house,Arvonia,Slate River Getaway,5,3,No,3,2,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.85,67,49,https://www.airbnb.com/rooms/17515380?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
6,Entire guesthouse,Fincastle,Adorable Cottage at Starry Hill Farm,2,1,No,0,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,34,75,https://www.airbnb.com/rooms/34753440?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
7,Entire cabin,Reva,Cozy Cute Cabin,2,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,174,151,https://www.airbnb.com/rooms/29613625?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
8,Tiny house,Brightwood,Tiny living on The Hilltop,2,2,No,2,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,65,97,https://www.airbnb.com/rooms/40277254?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
9,Tiny house,Stanardsville,The Tiny House at Ravens Ridge Farm,3,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,65,92,https://www.airbnb.com/rooms/36148056?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
10,Entire cabin,Rileyville,Serenity - secluded cabin in the woods,5,2,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,8,185,https://www.airbnb.com/rooms/45079150?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
11,Entire house,Pamplin,Marigold's Retreat-A Lovely Country Cottage,4,2,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,61,95,https://www.airbnb.com/rooms/22984879?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
12,Entire guesthouse,Floyd,Tiny House @ TinyHouseFamily,2,NaN,Yes,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,394,57,https://www.airbnb.com/rooms/19400558?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
13,Entire cabin,Stanardsville,High Top Cabin,2,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.98,96,149,https://www.airbnb.com/rooms/31928583?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
14,Entire cabin,Hinton,Brookeside,4,1,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,169,100,https://www.airbnb.com/rooms/22663269?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
15,Entire house,Stanardsville,Sister's View,2,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,150,118,https://www.airbnb.com/rooms/20275319?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
16,Farm stay,Reva,K-9 Heaven,6,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,104,116,https://www.airbnb.com/rooms/34746517?previous_page_section_name=1000&federated_search_id=381a3a68-4ab6-480d-9c94-a49eb8b1e0e1
