,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Aberdeen,The Clarity Room in Aberdeen,2,1,No,1,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.91,44,35,https://www.airbnb.com/rooms/27843327?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
1,Private room,Randallstown,Zee’s space,2,1,No,0,1,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,NaN,NaN,30,https://www.airbnb.com/rooms/41682463?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
2,Private room,Belcamp,"""Interlude"" Quiet Cozy Room Near APG",1,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.88,145,30,https://www.airbnb.com/rooms/18999141?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
3,Entire serviced apartment,Elkridge,Clean apt just for you | 1BR in Elkridge,3,1,No,1,1,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,NaN,NaN,112,https://www.airbnb.com/rooms/43945009?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
4,Private room,Bel Air,1 BR in 3 BR Condo/Apartment,1,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4.91,11,28,https://www.airbnb.com/rooms/7638386?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
5,Private room,Germantown,Home away from home,1,1,No,1,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.91,35,30,https://www.airbnb.com/rooms/24617898?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
6,Private room,Laurel,Private Room with a private bathroom,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.88,60,35,https://www.airbnb.com/rooms/21503009?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
7,Entire cabin,Dickerson,Cozy Cabin at Sugarloaf Mountain,2,NaN,Yes,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,121,89,https://www.airbnb.com/rooms/15582629?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
8,Private room,Silver Spring,master bedroom w/ private bath in prestigious home,2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,33,https://www.airbnb.com/rooms/30951646?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
9,Private room,Silver Spring,Private room in townhouse/Metro Bus access,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.78,90,32,https://www.airbnb.com/rooms/30913000?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
10,Entire cottage,Westover,Heaven on the Bay - A Peaceful Waterfront Retreat,6,2,No,3,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,9,180,https://www.airbnb.com/rooms/41177635?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
11,Private room,Owings Mills,"Private, Quiet, Comfy, Clean basement of House",5,1,No,1,1,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4.83,232,37,https://www.airbnb.com/rooms/28787433?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
12,Private room,Hanover,"Close to BWI, Live casino and Mall, private Bed",1,1,No,1,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.81,16,28,https://www.airbnb.com/rooms/41983737?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
13,Entire townhouse,Baltimore,The 'Local' Apartment -Rated Best Stay!!!- #4,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,45,https://www.airbnb.com/rooms/43054554?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
14,Private room,Silver Spring,Cozy Room #1 in a Tranquil Location,1,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.44,9,35,https://www.airbnb.com/rooms/16909340?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
15,Private room,Annapolis,Private room in Eastport (1.5 miles to DTA),2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,5.0,6,45,https://www.airbnb.com/rooms/45689232?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
16,Entire house,Beltsville,GOOD PLACE NICE & CLEAN NEAR TO DC ( BASEMENT ),2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,4.50,10,51,https://www.airbnb.com/rooms/45073061?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
17,Private room,Capitol Heights,Basement room#B1 in Capitol Heights,2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.56,18,35,https://www.airbnb.com/rooms/6614452?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
18,Private room,Baltimore,Single Family Home,2,1,No,1,1,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,5.0,3,35,https://www.airbnb.com/rooms/31981618?previous_page_section_name=1000&federated_search_id=daa0de3a-6fd9-442c-aad9-65ae630511f2
