,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire house,Washington,1-bedroom basement Apartment in NE Washington DC.,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.33,88,57,https://www.airbnb.com/rooms/40280711?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
1,Room,boutique hotel in Washington,Prime Location Standard Queen,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.40,5,79,https://www.airbnb.com/rooms/39719110?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
2,Entire serviced apartment,Washington,A place of your own | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,108,https://www.airbnb.com/rooms/46067666?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
3,Entire townhouse,Washington,Cozy Capitol Hill home near metro,3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.83,401,93,https://www.airbnb.com/rooms/246413?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
4,Entire house,Washington,D.G.B.G. Suite in Kingman Park w/ Free Parking!,4,NaN,Yes,2,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.76,105,63,https://www.airbnb.com/rooms/23101507?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
5,Entire serviced apartment,Washington,Relax in comfort | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,104,https://www.airbnb.com/rooms/45787819?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
6,Entire serviced apartment,Washington,Entire apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,100,https://www.airbnb.com/rooms/45689781?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
7,Entire serviced apartment,Washington,Live + Work + Stay + Easy | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,120,https://www.airbnb.com/rooms/46173650?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
8,Entire apartment,Washington,cozy gathering,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,2.33,3,50,https://www.airbnb.com/rooms/45518461?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
9,Entire apartment,Washington,Garden level retreat - perfect for couples,3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5.0,26,86,https://www.airbnb.com/rooms/43489815?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
10,Entire apartment,Washington,Private Basement Studio-Free Onsite Parking,4,NaN,Yes,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.91,242,61,https://www.airbnb.com/rooms/21821898?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
11,Entire serviced apartment,Washington,A place of your own | Studio in Washington,1,NaN,Yes,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,98,https://www.airbnb.com/rooms/45653428?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
12,Entire apartment,Washington,Big Bright 1 BR at U/Shaw + 14th on Quaint Swann,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.90,81,66,https://www.airbnb.com/rooms/32726582?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
13,Private room,Washington,Queen Bedroom in H ST / Capitol Hill Rowhome,2,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.92,393,50,https://www.airbnb.com/rooms/16380562?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
14,Entire apartment,Washington,Comfortable Space at a Great Location,5,2,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.86,7,76,https://www.airbnb.com/rooms/45866645?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
15,Entire apartment,Washington,Cozy Capitol Hill 1 BR English Basement,3,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.85,171,65,https://www.airbnb.com/rooms/13622959?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
16,Entire townhouse,Washington,Private Rowhouse in Shaw neighborhood,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,64,https://www.airbnb.com/rooms/46150179?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
17,Entire guest suite,Washington,Spacious studio w private entrance in DC rowhouse,4,NaN,Yes,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.84,160,62,https://www.airbnb.com/rooms/23380375?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
18,Entire house,Washington,Promotional Pricing!! New 2 Bedroom Private House,4,2,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.89,74,93,https://www.airbnb.com/rooms/38045795?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
19,Private room,Washington,Cosy room in a historic building.5mn walk to metro,2,1,No,1,2,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.63,57,34,https://www.airbnb.com/rooms/24623980?previous_page_section_name=1000&federated_search_id=15349cf4-685d-4583-887a-8b3cd0412c2f
