,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire cabin,Dickerson,Cozy Cabin at Sugarloaf Mountain,2,NaN,Yes,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,121,89,https://www.airbnb.com/rooms/15582629?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
1,Private room,Millersville,Comfy Stay Near BWI,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.88,90,32,https://www.airbnb.com/rooms/18470759?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
2,Entire cottage,Clear Spring,Quick walk to Hagerstown Speedway,6,2,No,4,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.74,81,59,https://www.airbnb.com/rooms/34168452?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
3,Private room,Columbia,Confortable room to rent,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,5.0,3,32,https://www.airbnb.com/rooms/44641783?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
4,Private room,Catonsville,Relaxing Home in Catonsville; Bedroom #2 of 3.,1,3,No,3,2.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.79,14,34,https://www.airbnb.com/rooms/34318395?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
5,Private room,Bowie,Royal Nest,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.83,69,35,https://www.airbnb.com/rooms/31387694?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
6,Private room,Germantown,Cozy Room,1,1,No,1,1.5,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.97,35,30,https://www.airbnb.com/rooms/25613055?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
7,Entire cottage,Lusby,Gettin to the point. ( Cove Point Beach),4,2,No,2,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.99,69,130,https://www.airbnb.com/rooms/34702404?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
8,Entire guesthouse,Highland,Woodland Retreat,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4.98,136,91,https://www.airbnb.com/rooms/11494938?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
9,Entire guesthouse,Bushwood,Little House by the water,2,1,No,2,1,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,4.85,67,70,https://www.airbnb.com/rooms/26447553?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
10,Entire guest suite,Lanham,NEW construction: Studio Basement near DC,4,1,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.98,64,57,https://www.airbnb.com/rooms/33941613?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
11,Entire apartment,Baltimore,"Butchers Hill/Baltimore. Clean, Cozy and Private!",3,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.98,54,99,https://www.airbnb.com/rooms/22985459?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
12,Private room,Annapolis,Private room in Eastport (1.5 miles to DTA),2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,5.0,6,45,https://www.airbnb.com/rooms/45689232?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
13,Entire guest suite,Eden,The Garden of Eden NEW off season rates- Book Now!,4,1,No,4,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,5.0,47,73,https://www.airbnb.com/rooms/43758285?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
14,Private room,Laurel,Cozy private room (Females Only),1,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,NaN,NaN,22,https://www.airbnb.com/rooms/37876248?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
15,Entire cabin,Middletown,Charming vintage cabin in the ❤️ of Middletown.,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,110,118,https://www.airbnb.com/rooms/32518458?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
16,Entire cabin,Myersville,Cabin on Middle Creek - Myersville MD - Middletown,4,1,No,3,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.99,69,99,https://www.airbnb.com/rooms/33936420?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
17,Entire house,Frederick,Private basement studio Apt.,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.88,8,35,https://www.airbnb.com/rooms/37811389?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
18,Entire guest suite,Laurel,Beautiful Guest Suite - Private Entry & Kitchen,3,2,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.89,117,74,https://www.airbnb.com/rooms/32437923?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
19,Private room,Gambrills,Home Away from Home,1,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.97,301,32,https://www.airbnb.com/rooms/6378209?previous_page_section_name=1000&federated_search_id=d5325165-1174-45a7-9d2a-f422b7b5f8b8
