,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire townhouse,McHenry,3-Bedroom Renovated Lakeside Townhouse Near Wisp,8,3,No,4,2.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,57,179,https://www.airbnb.com/rooms/39562716?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
1,Entire cabin,North East,Waterfront Cabin on the Chesapeake,6,3,No,3,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,69,350,https://www.airbnb.com/rooms/7073837?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
2,Entire house,Stevensville,Chesapeake Bay Home with Pool!,10,3,No,4,4,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,25,638,https://www.airbnb.com/rooms/42143060?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
3,Entire house,Earleville,"Stunning waterfront mansion, with indoor pool",16,5,No,5,6,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,16,1281,https://www.airbnb.com/rooms/20931433?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
4,Entire condominium,Ocean City,⭐️STUNNING RENOVATED DIRECT BEACHFRONT AMAZING VIEW,8,2,No,4,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,136,95,https://www.airbnb.com/rooms/19769481?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
5,Entire cabin,Oakland,"Lake Area Cabin w/Hot Tub, Wood Fireplace, & Charcoal Grill!",4,2,No,2,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.33,9,200,https://www.airbnb.com/rooms/29432237?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
6,Entire house,Lanham,"Family Home w/ Pool Access+Grill, 15 Mi to DC",10,5,No,5,3,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.55,11,362,https://www.airbnb.com/rooms/36843176?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
7,Entire house,Taneytown,River House Retreat w/ King Bed,10,3,No,4,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.90,91,227,https://www.airbnb.com/rooms/22358451?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
8,Private room,Arnold,"Sunny Spot Suite, Spacious & Serene,near Annapolis",3,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.86,321,61,https://www.airbnb.com/rooms/21662250?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
9,Entire house,Annapolis,New Hotel Chic,4,2,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.87,103,229,https://www.airbnb.com/rooms/34908827?previous_page_section_name=1000&federated_search_id=65577608-321c-4da2-a304-146d2eaa3f0f
