,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire guest suite,Washington,Historic Rowhouse English Basement 1BR,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.59,22,75,https://www.airbnb.com/rooms/38581209?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
1,Entire apartment,Washington,Lovely fully furnished basement apartment for rent,2,NaN,Yes,NaN,NaN,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,68,https://www.airbnb.com/rooms/46008253?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
2,Entire condominium,Washington,1BR Capitol Hill Apt Next to Metro,4,2,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.81,238,63,https://www.airbnb.com/rooms/3711222?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
3,Entire apartment,Washington,Sojourn on The Hill | A Modern 1 Bedroom,4,1,No,2,1,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,4.85,20,85,https://www.airbnb.com/rooms/42929391?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
4,Room,boutique hotel in Washington,"Arc The.Hotel, The.Hotel King",3,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4.21,14,109,https://www.airbnb.com/rooms/35578850?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
5,Entire guest suite,Washington,Discounted Basement Suite/Free Pkg /AU /TT metro,2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.95,136,68,https://www.airbnb.com/rooms/32269087?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
6,Entire apartment,Washington,Big Cozy Private Apt; pets welcome; street parking,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.53,60,54,https://www.airbnb.com/rooms/33850755?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
7,Entire house,Washington,Whole place to yourself. W/parking NE DC  20002,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.72,86,82,https://www.airbnb.com/rooms/21591178?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
8,Entire serviced apartment,Washington,Live + Work + Stay + Easy | 1BR in Washington,3,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,NaN,NaN,128,https://www.airbnb.com/rooms/45956604?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
9,Entire serviced apartment,Washington,A place of your own | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,NaN,NaN,105,https://www.airbnb.com/rooms/43641767?previous_page_section_name=1000&federated_search_id=241b8b43-4634-4f8f-9c85-98670392901d
