,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Washington,Private Basement-apt in Logan Circle DC!,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.48,26,53,https://www.airbnb.com/rooms/16048230?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
1,Private room,Washington,"Private room w/ bathroom, cable TV, wifi, & ref.",2,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.78,64,39,https://www.airbnb.com/rooms/28388898?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
2,Entire apartment,Washington,Major price reduction. A fabulous studio!,2,NaN,Yes,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.92,393,63,https://www.airbnb.com/rooms/8353034?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
3,Entire apartment,Washington,Lovely apartment close to everything,4,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.96,166,68,https://www.airbnb.com/rooms/22535385?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
4,Entire guesthouse,Washington,Garage Mahal,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,4.60,287,31,https://www.airbnb.com/rooms/2091153?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
5,Private room,Washington,Welcome to your DC Hideout!!,2,1,No,1,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,32,https://www.airbnb.com/rooms/46255959?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
6,Private room,Washington,Private room. Free parking,1,1,No,NaN,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.82,18,37,https://www.airbnb.com/rooms/40783246?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
7,Entire apartment,Washington,IN-HOUSE APARTMENT IN A QUIET STREET IN THE DC.,1,1,No,1,1,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,NaN,NaN,36,https://www.airbnb.com/rooms/45864959?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
8,Entire apartment,Washington,Neat Apartment 10 minutes' walk to White House,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.84,25,87,https://www.airbnb.com/rooms/15851733?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
9,Room,boutique hotel in Washington,Capitol Hill Bed&Breakfast- Double Twin w/bathroom,2,1,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,3.75,4,61,https://www.airbnb.com/rooms/45256817?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
10,Entire apartment,Washington,New Renovated English Basement Apartment,4,NaN,Yes,2,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,55,https://www.airbnb.com/rooms/44750418?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
11,Entire apartment,Washington,Studio on the Wharf,2,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,NaN,NaN,70,https://www.airbnb.com/rooms/43131938?previous_page_section_name=1000&federated_search_id=a945a82a-f86c-40db-ae00-fdca21170395
