,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Lynchburg,4.8 miles from LU · 1 Full bed  in Private BR,2,1,No,2,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.93,15,24,https://www.airbnb.com/rooms/33939338?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
1,Yurt,Floyd,Enchanting Floyd Yurt near Blue Ridge Parkway,4,NaN,Yes,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.97,112,81,https://www.airbnb.com/rooms/27263220?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
2,Entire cabin,Floyd,"Cute Cabin w/ hot tub, walk to Chateau Morrisette",7,2,No,4,2,Yes,No,No,No,No,No,No,No,No,No,No,No,4.98,121,142,https://www.airbnb.com/rooms/17554670?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
3,Entire loft,Lynchburg,River View Retreat- Corner Loft with Amazing Views,4,1,No,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.98,59,96,https://www.airbnb.com/rooms/37216567?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
4,Entire house,Ararat,Kibler Valley Cabin,4,2,No,4,1,No,Yes,No,No,No,Yes,No,No,No,No,No,No,4.84,68,95,https://www.airbnb.com/rooms/20248906?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
5,Entire cabin,Gordonsville,Shenandoah Crossing Grand Cabin in Woods!,6,2,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,NaN,NaN,149,https://www.airbnb.com/rooms/16589126?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
6,Entire cabin,Luray,♥HONEYSUCKLE CABIN♥ Riverfront Luxury Retreat! 5★!,4,1,No,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,5.0,23,154,https://www.airbnb.com/rooms/43714533?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
7,Entire house,Luray,Sunset_Ridge,6,2,No,2,2,No,Yes,No,No,No,No,No,No,No,No,No,No,4.82,34,215,https://www.airbnb.com/rooms/34775269?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
8,Private room,Lynchburg,Private Room in Historic downtown Lynchburg,2,1,No,1,1.5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.98,95,35,https://www.airbnb.com/rooms/26445427?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
9,Entire cabin,Evington,Cedar Hollow Love Shack,2,1,No,1,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.96,28,190,https://www.airbnb.com/rooms/41339330?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
10,Entire apartment,Harrisonburg,Restful Hilltop Apartment:   No cleaning fees!,4,2,No,2,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.89,340,88,https://www.airbnb.com/rooms/15840169?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
11,Private room,Herndon,Elegant Big Private Room Attached Bath,2,1,No,1,2.5,No,Yes,No,No,No,No,No,No,No,No,No,No,4.67,3,18,https://www.airbnb.com/rooms/41243316?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
12,Entire cabin,Rileyville,"Lone Bear Cabin: Mtn Views, Hot Tub",6,4,No,4,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,5.0,67,290,https://www.airbnb.com/rooms/34817465?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
13,Entire cottage,Orange,🐶Dogs & 🐴Horses Welcome - ⭐️2BR Hen & Hound Cottage,4,2,No,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.95,74,89,https://www.airbnb.com/rooms/39225374?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
14,Entire house,Madison,Tatum's Mountain View Retreat,6,3,No,4,2,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,5.0,5,127,https://www.airbnb.com/rooms/45900411?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
15,Entire house,Farmville,The Inn at Hampden-Sydney,8,2,No,4,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.93,40,150,https://www.airbnb.com/rooms/34123998?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
16,Entire cottage,Crozet,The Cottage at Peavine Hollow Farm,4,2,No,3,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.96,24,229,https://www.airbnb.com/rooms/27279726?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
17,Entire cottage,Dayton,7 Acres Inn,4,1,No,2,1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,4.96,92,86,https://www.airbnb.com/rooms/27728250?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
18,Private room,Colonial Beach,Tall Trees and River Breeze Homestay,2,1,No,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.87,59,33,https://www.airbnb.com/rooms/21879446?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
19,Treehouse,Shenandoah,Eagles Nest Tree House,4,1,No,3,1.5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,5.0,30,249,https://www.airbnb.com/rooms/41558082?previous_page_section_name=1000&federated_search_id=59db1ad7-06b4-4739-a066-54087ab4eda2
