,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Lynchburg,Flower Farm Stay: Rock Garden Studio,4,1,No,3,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,5.0,44,116,https://www.airbnb.com/rooms/43124692?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
1,Entire cabin,Luray,Grand View- amazing views/pet friendly,6,3,No,3,1.5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.94,187,146,https://www.airbnb.com/rooms/5018795?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
2,Entire guesthouse,Lynchburg,"Private, Sanitized Loft, with Discounts",2,1,No,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.79,101,48,https://www.airbnb.com/rooms/34063073?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
3,Entire apartment,Staunton,"Bijou On Beverley, a gem of a place!",2,1,No,1,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.92,76,101,https://www.airbnb.com/rooms/27284517?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
4,Entire house,Stanardsville,Lakefront Home in Stanardsville,6,3,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,5.0,7,225,https://www.airbnb.com/rooms/43930046?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
5,Entire apartment,Harrisonburg,Restful Hilltop Apartment:   No cleaning fees!,4,2,No,2,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.89,340,88,https://www.airbnb.com/rooms/15840169?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
6,Entire house,Lynchburg,Retreat-Explore-Repeat in Comfy Rivermont Home,4,2,No,2,1,No,Yes,No,No,No,Yes,No,No,No,No,No,No,5.0,4,73,https://www.airbnb.com/rooms/45541040?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
7,Farm stay,St. Stephens Church,George Washington slept here!,6,2,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,4.92,51,120,https://www.airbnb.com/rooms/970329?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
8,Entire guest suite,Harrisonburg,Urban Oasis -  Studio in a tranquil wooded setting,3,NaN,Yes,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.98,56,82,https://www.airbnb.com/rooms/38362287?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
9,Entire guesthouse,Mount Jackson,The Hay Loft,2,NaN,Yes,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.99,155,165,https://www.airbnb.com/rooms/21407264?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
10,Entire cottage,Harrisonburg,The Spring House at Willow Spring Farm,4,NaN,Yes,1,1,No,Yes,No,No,No,Yes,No,No,No,No,No,No,4.97,107,73,https://www.airbnb.com/rooms/34790047?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
11,Farm stay,Warrenton,Winters Retreat Farm Cottage - Entire house,4,1,No,1,1.5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.99,128,73,https://www.airbnb.com/rooms/35702732?previous_page_section_name=1000&federated_search_id=3d77b62a-b752-4a10-bfff-90f2584cb2ce
