,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire guest suite,Swanton,One of a Kind - Lake Farm Suite w Private Entrance,4,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.91,118,67,https://www.airbnb.com/rooms/21717315?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
1,Entire house,Lusby,"Cottage at Calvert Cliffs, near water & Solomon’s.",8,4,No,5,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.76,160,156,https://www.airbnb.com/rooms/9282892?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
2,Entire cabin,Upperco,The Guesthouse at Downey Family Farm,5,2,No,3,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,8,179,https://www.airbnb.com/rooms/42910883?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
3,Entire apartment,Glen Burnie,Private Basement Apt mins from BWI- Glen Burnie MD,4,1,No,2,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.71,35,75,https://www.airbnb.com/rooms/43604510?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
4,Entire guest suite,Edgewater,Charming 2 bedroom hideaway near Annapolis.,5,2,No,3,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,60,100,https://www.airbnb.com/rooms/21964043?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
5,Entire apartment,Essex,A place unique on sue creek,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.96,75,65,https://www.airbnb.com/rooms/33730349?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
6,Entire guest suite,Mount Airy,Fixins Farm,4,2,No,2,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.97,36,160,https://www.airbnb.com/rooms/28126887?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
7,Private room,Sharpsburg,Potomac Riverfront Cottage/Historic Property,4,1,No,1,1,No,Yes,No,No,No,No,No,Yes,No,No,No,No,5.0,27,125,https://www.airbnb.com/rooms/44491601?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
8,Private room,Gaithersburg,NIST Stay,1,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,16,28,https://www.airbnb.com/rooms/3574289?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
9,Entire house,Bel Air,TINY house for 6  *BIG attention to country charm*,6,2,No,4,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,3,87,https://www.airbnb.com/rooms/45789396?previous_page_section_name=1000&federated_search_id=dd4785a1-c9f1-442b-9b8a-db86bb2590cc
