,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Highland,"DC. Heated pool in winter, horse farm",5,1,No,3,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.96,89,180,https://www.airbnb.com/rooms/20957633?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
1,Entire cottage,Pasadena,Ft. Smallwood Overlook.  It's all about the water!,4,2,No,2,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.97,58,263,https://www.airbnb.com/rooms/30766008?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
2,Entire cabin,Dickerson,Cozy Cabin at Sugarloaf Mountain,2,NaN,Yes,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.99,121,89,https://www.airbnb.com/rooms/15582629?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
3,Entire cottage,Woodbine,Gate House,4,2,No,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,23,112,https://www.airbnb.com/rooms/38400159?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
4,Entire cottage,Easton,"Cottage on Solitude Creek, Hot Tub & Firepit",4,2,No,3,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,14,336,https://www.airbnb.com/rooms/41168466?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
5,Entire house,Glen Burnie,NEW! | WATERFRONT|Calming Paradise|Close to BWI,6,2,No,3,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,4,222,https://www.airbnb.com/rooms/46009834?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
6,Entire house,Lusby,"Cottage at Calvert Cliffs, near water & Solomon’s.",8,4,No,5,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.76,160,156,https://www.airbnb.com/rooms/9282892?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
7,Entire guest suite,White Marsh,Bird River Bottega - A Waterfront Oasis!,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,16,60,https://www.airbnb.com/rooms/43762955?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
8,Entire house,Accident,"Secluded & spacious retreat w/ a private hot tub, free WiFi, & a game room",16,5,No,10,4,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,NaN,NaN,217,https://www.airbnb.com/rooms/45951975?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
9,Entire guesthouse,Smithsburg,Jewel Vinsota Artist's Guesthouse,6,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.95,276,83,https://www.airbnb.com/rooms/18253733?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
10,Entire condominium,Baltimore,Cozy Private Condo in Mt. Vernon w/ Rooftop,2,1,No,1,1,No,Yes,No,No,No,No,No,No,Yes,No,No,No,4.80,209,58,https://www.airbnb.com/rooms/29876662?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
11,Entire guest suite,Crownsville,Basement Efficiency Tucked Away in the Woods,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.80,20,70,https://www.airbnb.com/rooms/42458351?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
12,Entire cottage,Westover,Rumbley Cottage on the Tangier Sound,6,3,No,3,3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.98,44,229,https://www.airbnb.com/rooms/36480178?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
13,Entire cottage,Annapolis,Waterfront farm retreat for vacation & telework,7,2,No,4,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.95,40,265,https://www.airbnb.com/rooms/28131633?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
14,Entire cabin,Oakland,SUGARBUSH - Sweet Serenity Tiny House,4,1,No,2,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,4.97,60,150,https://www.airbnb.com/rooms/27701022?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
15,Entire cottage,Deal Island,Water View Cottage,5,2,No,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.92,12,100,https://www.airbnb.com/rooms/36444991?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
16,Entire guesthouse,Highland,Woodland Retreat,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.98,136,91,https://www.airbnb.com/rooms/11494938?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
17,Entire cabin,Middletown,Charming vintage cabin in the ❤️ of Middletown.,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.91,110,118,https://www.airbnb.com/rooms/32518458?previous_page_section_name=1000&federated_search_id=dcb395ef-102c-453e-aaf4-f8aa1fc411ab
