,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire serviced apartment,Washington,Live + Work + Stay + Easy | 1BR in Washington,3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,108,https://www.airbnb.com/rooms/45136333?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
1,Entire serviced apartment,Washington,Relax in comfort | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,102,https://www.airbnb.com/rooms/45878470?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
2,Private room,Washington,"Cozy /spaceous,private  basement",4,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,4.12,50,44,https://www.airbnb.com/rooms/40240902?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
3,Private room,Washington,Quiet room Historic Mt pleasant.5mn walk to metro,2,1,No,0,2,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.40,10,34,https://www.airbnb.com/rooms/44410205?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
4,Private room,Washington,Large & cheery room near Fort totten & Catholic U,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,11,42,https://www.airbnb.com/rooms/41131947?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
5,Entire apartment,Washington,cozy gathering,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,2.33,3,50,https://www.airbnb.com/rooms/45518461?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
6,Entire apartment,Washington,Sojourn on 5th #302,3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,115,https://www.airbnb.com/rooms/45726862?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
7,Entire apartment,Washington,Unique Studio with Private Patio!,2,NaN,Yes,0,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.98,43,85,https://www.airbnb.com/rooms/32941255?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
8,Room,boutique hotel in Washington,Prime Location Deluxe Double Double,2,1,No,2,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,NaN,NaN,79,https://www.airbnb.com/rooms/39719491?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
9,Entire apartment,Washington,Private Unit Near H Street with Off-Street Parking,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.92,12,71,https://www.airbnb.com/rooms/42825977?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
10,Private room,Washington,Three windows private room,1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.92,13,39,https://www.airbnb.com/rooms/41004361?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
11,Entire apartment,Washington,Spacious and Bright Petworth Apartment,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.95,74,80,https://www.airbnb.com/rooms/29275606?previous_page_section_name=1000&federated_search_id=eea2c8d4-13cc-477d-9c02-c71c54ad9e57
