,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire townhouse,McHenry,Lake front getaway with indoor hot tub - walk to the lake or hit the slopes,6,2,No,3,2.5,Yes,No,No,No,No,No,No,No,No,No,No,No,4.31,29,139,https://www.airbnb.com/rooms/20617016?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
1,Entire cottage,Middletown,"Charming ""Cream of the Crop"" Cape ~❤️of Middletown",6,2,No,2,2.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.98,48,166,https://www.airbnb.com/rooms/39072963?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
2,Entire townhouse,Laurel,Private basement apartment,4,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.79,81,42,https://www.airbnb.com/rooms/36239957?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
3,Entire house,Oakland,Charming lake house w/ private hot tub & great views from the deck,10,4,No,6,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.27,37,257,https://www.airbnb.com/rooms/23194354?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
4,Entire house,Chestertown,Entire River Front Home - 4 Bedrooms 4.5 Baths,10,4,No,5,4.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.97,34,514,https://www.airbnb.com/rooms/21979980?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
5,Private room,Pasadena,"Phenomenal hospitality, Home away from home.",5,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.98,352,54,https://www.airbnb.com/rooms/15049367?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
6,Entire serviced apartment,Elkridge,Clean apt just for you | 2BR in Elkridge,5,2,No,2,2,No,No,Yes,No,No,No,No,No,No,No,No,No,NaN,NaN,137,https://www.airbnb.com/rooms/45156614?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
7,Boat,Annapolis,Stay aboard the S/V MY STUDIO on Annapolis Harbor,4,2,No,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.94,185,119,https://www.airbnb.com/rooms/8422396?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
8,Entire serviced apartment,Bethesda,Relax in your own space | 2BR in Bethesda,5,2,No,2,2,No,No,Yes,No,No,No,No,No,No,No,No,No,NaN,NaN,177,https://www.airbnb.com/rooms/45877100?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
9,Entire house,Lexington Park,Horseshoe Point - Waterfront - St. Marys River,6,3,No,5,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.98,41,227,https://www.airbnb.com/rooms/36456012?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
10,Entire condominium,Baltimore,Chic  Downtown Condo Baltimore w/ Parking/View,2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,NaN,NaN,56,https://www.airbnb.com/rooms/45544067?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
11,Entire guest suite,Eden,The Garden of Eden NEW off season rates- Book Now!,4,1,No,4,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,47,73,https://www.airbnb.com/rooms/43758285?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
12,Entire apartment,Essex,A place unique on sue creek,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.96,75,65,https://www.airbnb.com/rooms/33730349?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
13,Entire apartment,Baltimore,"Business district, convention center, indoor park.",4,1,No,6,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,NaN,NaN,98,https://www.airbnb.com/rooms/46298481?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
14,Entire chalet,McHenry,Fish R Landing @ Deep Creek Lake,10,3,No,6,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.78,49,276,https://www.airbnb.com/rooms/18890867?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
15,Entire apartment,California,Our Little Piece of Heaven,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.91,93,122,https://www.airbnb.com/rooms/24870363?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
16,Entire house,Chesapeake Beach,Staycation at Cozy Beach Home,11,4,No,7,2.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.42,26,132,https://www.airbnb.com/rooms/29857363?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
17,Entire house,Silver Spring,Enjoy beautiful scenery at fully equipped 2BR home,4,2,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,13,78,https://www.airbnb.com/rooms/43908736?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
18,Entire cottage,West Ocean City,"Renovated, family-friendly cottage w/ hot tub & plenty of privacy!",10,3,No,5,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.12,25,126,https://www.airbnb.com/rooms/17153730?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
19,Entire house,Berlin,Dog-Friendly Berlin Home w/ Pool & Water Access!,6,2,No,3,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.63,16,111,https://www.airbnb.com/rooms/33937160?previous_page_section_name=1000&federated_search_id=f2c25bb5-365b-4652-941a-5ff80318f327
