,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Baltimore,Charming Colonial 2Bd1Rm Special Historic District,4,1,No,2,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.20,5,31,https://www.airbnb.com/rooms/38298722?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
1,Private room,Baltimore,1 luxury living for grad students,1,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.55,11,18,https://www.airbnb.com/rooms/14437871?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
2,Entire guest suite,Mount Airy,Fixins Farm,4,2,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4.97,36,160,https://www.airbnb.com/rooms/28126887?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
3,Entire townhouse,Upper Marlboro,Private and comfortable Basement apartment,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.57,148,40,https://www.airbnb.com/rooms/28079287?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
4,Private room,Randallstown,Zee’s space,2,1,No,0,1,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,NaN,NaN,30,https://www.airbnb.com/rooms/41682463?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
5,Entire apartment,Takoma Park,Spacious Studio Apartment in Takoma Park,2,NaN,Yes,0,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.88,78,80,https://www.airbnb.com/rooms/12362098?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
6,Private room,Baltimore,⭐ Newly Renovated | Near Coppin State University ⭐,1,1,No,1,2.5,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,25,https://www.airbnb.com/rooms/39466961?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
7,Entire guest suite,Gaithersburg,Newly Renovated Basement Apartment,2,1,No,NaN,1,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,NaN,NaN,60,https://www.airbnb.com/rooms/44629876?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
8,Entire apartment,Sykesville,Spacious Basement Apartment in Tranquil Setting,5,2,No,3,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.97,116,75,https://www.airbnb.com/rooms/25812390?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
9,Entire cabin,Gambrills,Relaxing Cabin Get Away Near Annapolis & DC,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.90,79,83,https://www.airbnb.com/rooms/23905418?previous_page_section_name=1000&federated_search_id=a1dc0fed-9ded-4ba6-869e-3196152415e1
