,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Lexington Park,Adorable Waterfront Apartment Weekend Getaway,2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,82,80,https://www.airbnb.com/rooms/36812815?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
1,Entire guest suite,Catonsville,Cozy Catonsville Suite,2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.90,129,50,https://www.airbnb.com/rooms/29596923?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
2,Private room,Baltimore,Cozy Room2 -Shared Living Space,1,1,No,1,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,17,https://www.airbnb.com/rooms/43317323?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
3,Tiny house,Saint Inigoes,Historic St.Mary's City at the Lazy Bear Cottage,2,1,No,1,1,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,4.99,148,69,https://www.airbnb.com/rooms/13544455?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
4,Entire cabin,Freeland,"Peaceful Rustic Retreat, Wild Flowers & Farm Views",2,1,No,1,1,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,5.0,26,84,https://www.airbnb.com/rooms/36936064?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
5,Private room,Calverton,"10 min from FDA, 8 minutes UMCP TwinBed Cozy",1,1,No,0,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,23,https://www.airbnb.com/rooms/35548678?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
6,Entire apartment,Odenton,"Fully furnished 1 BR, 1 BA apartment",2,1,No,2,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.25,4,32,https://www.airbnb.com/rooms/40747544?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
7,Entire guest suite,Crownsville,Basement Efficiency Tucked Away in the Woods,2,NaN,Yes,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.80,20,70,https://www.airbnb.com/rooms/42458351?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
8,Private room,Silver Spring,"Cozy bedroom with private bath&TV(14"") 6min to HC",1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,4.93,43,31,https://www.airbnb.com/rooms/32661829?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
9,Entire apartment,Silver Spring,Silver Spring Apartment,3,NaN,Yes,2,1,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,NaN,NaN,29,https://www.airbnb.com/rooms/46221999?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
10,Entire guest suite,Hillcrest Heights,"Private, Chic Retreat w/Free Parking+5 Mins to DC!",2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,22,35,https://www.airbnb.com/rooms/32747171?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
11,Private room,Silver Spring,Cool sanctuary in DC metro area,4,2,No,3,1,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.91,57,25,https://www.airbnb.com/rooms/29483178?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
12,Private room,Silver Spring,Cozy Bedroom in a Basement near Downtown SS-B3,1,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.88,33,26,https://www.airbnb.com/rooms/32682569?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
13,Private room,Catonsville,Cozy Catonsville Studio,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,5.0,13,36,https://www.airbnb.com/rooms/39984857?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
14,Private room,Baltimore,Kay's Colonial Home,3,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,NaN,NaN,19,https://www.airbnb.com/rooms/46264751?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
15,Entire townhouse,Baltimore,5 Glamorous Apt. for Healthcare & Grad students,2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,38,https://www.airbnb.com/rooms/43507250?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
16,Private room,Baltimore,Federal Hill Rowhome Private Basement,2,1,No,1,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.88,17,35,https://www.airbnb.com/rooms/40063718?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
17,Entire house,Annapolis,Wright’s Cottage- No cleaning fees! Pets! River!,2,1,No,1,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.96,169,115,https://www.airbnb.com/rooms/24062720?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
18,Private room,Silver Spring,Tiffany Rd luxury Comfort Full Bed,1,1,No,1,2,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,NaN,NaN,25,https://www.airbnb.com/rooms/45712577?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
19,Entire apartment,Severn,Fun and Cozy,2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.81,58,51,https://www.airbnb.com/rooms/40869810?previous_page_section_name=1000&federated_search_id=0fb5b1fe-2fda-40db-bf27-25f24c4e5cc8
