,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire guest suite,Washington,Brand new basement one bed near GTown University,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.72,27,79,https://www.airbnb.com/rooms/7660850?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
1,Entire serviced apartment,Washington,Entire apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,NaN,NaN,105,https://www.airbnb.com/rooms/45190827?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
2,Entire serviced apartment,Washington,Relax in comfort | Studio in Washington,1,NaN,Yes,0,1,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,NaN,NaN,106,https://www.airbnb.com/rooms/45803226?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
3,Private room,Washington,Furnished Rm South of Takoma D.C.,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,5.0,7,22,https://www.airbnb.com/rooms/1838623?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
4,Private room,Washington,"Heart of DC, Gorgeous Room, Great Price.",2,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,5.0,3,40,https://www.airbnb.com/rooms/40657545?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
5,Entire serviced apartment,Washington,Entire apartment for you | Studio in Washington,1,NaN,Yes,1,1,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,NaN,NaN,93,https://www.airbnb.com/rooms/45927807?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
6,Hostel beds,Washington,"U Street Capsule Hostel, 6 Capsule Room Mixed",1,1,No,1,5.5,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,4.80,5,38,https://www.airbnb.com/rooms/39131912?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
7,Entire apartment,Washington,Ale’s private basement apartment w/kitchen in DC,6,1,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.88,41,75,https://www.airbnb.com/rooms/27372418?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
8,Entire house,Washington,Perfect Home for Four in DC! Full kitchen!,4,1,No,3,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.72,105,72,https://www.airbnb.com/rooms/31592816?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
9,Entire guest suite,Washington,La Côte-du-Sud,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.89,171,88,https://www.airbnb.com/rooms/23791737?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
10,Private room,Washington,"Private Bedroom in charming and quirky Takoma, DC!",2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.96,186,30,https://www.airbnb.com/rooms/17012558?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
11,Entire guest suite,Washington,Modern Basement in Brookland,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.67,49,46,https://www.airbnb.com/rooms/37391192?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
12,Entire serviced apartment,Washington,A place of your own | Studio in Washington,1,NaN,Yes,1,1,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,NaN,NaN,98,https://www.airbnb.com/rooms/45653428?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
13,Private room,Washington,Cozy private room in Washington DC/Union Station,2,1,No,1,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.38,109,34,https://www.airbnb.com/rooms/29808821?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
14,Private room,Washington,ADAMS MORGAN HIDDEN CHARM (KALORAMA MEWS),1,1,No,1,1,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,NaN,NaN,50,https://www.airbnb.com/rooms/45971387?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
15,Room,boutique hotel in Washington,"Arc The.Hotel, The.Hotel Queen",4,NaN,Yes,2,1,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4.45,86,99,https://www.airbnb.com/rooms/35578939?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
16,Hostel beds,Washington,♡♡ Private Pod Bed + Co-working space + Kitchen ♡♡,1,1,No,3,11,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,NaN,NaN,36,https://www.airbnb.com/rooms/45440573?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
17,Entire apartment,Washington,Comfortable Space at a Great Location,5,2,No,2,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.86,7,76,https://www.airbnb.com/rooms/45866645?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
18,Private room,Washington,"Clean, Cozy and Affordable 3",2,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,5.0,5,42,https://www.airbnb.com/rooms/45422087?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
19,Entire guest suite,Washington,Sunny Self Contained English Basement,2,1,No,0,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.90,239,46,https://www.airbnb.com/rooms/23170552?previous_page_section_name=1000&federated_search_id=e19027f6-ca3d-4372-b0f1-0232ab6c284b
