,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Farm stay,New Windsor,Luxe Farmhouse MD/D.C/King B/WiFi/Free parking,8,3,No,4,2.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,41,379,https://www.airbnb.com/rooms/32836994?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
1,Entire house,Deale,Great Bayside Getaway 35 min from DC and Annapolis,6,3,No,3,2.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.85,48,225,https://www.airbnb.com/rooms/18764112?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
2,Entire house,Severna Park,Newly Listed! Tranquil Cottage with views of the Severn River,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.75,4,137,https://www.airbnb.com/rooms/45754189?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
3,Entire townhouse,Baltimore,Fantastic Estate! 2xGarage Parking! Sleeps 14!,16,4,No,5,4,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.77,142,184,https://www.airbnb.com/rooms/29675814?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
4,Entire house,Cambridge,Jewell on the Chesapeake,6,3,No,5,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.90,71,200,https://www.airbnb.com/rooms/19157212?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
5,Entire apartment,Essex,A place unique on sue creek,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.96,75,65,https://www.airbnb.com/rooms/33730349?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
6,Entire cottage,Chestertown,Sunview Cottage on Chesapeake Bay,4,2,No,3,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.90,120,98,https://www.airbnb.com/rooms/6324194?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
7,Entire cottage,West Ocean City,"Renovated, family-friendly cottage w/ hot tub & plenty of privacy!",10,3,No,5,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.12,25,126,https://www.airbnb.com/rooms/17153730?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
8,Entire house,McHenry,"Beautiful cabin in the woods w/private hot tub & game room, close to skiing",10,4,No,5,3.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.40,20,262,https://www.airbnb.com/rooms/20616441?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
9,Entire serviced apartment,Elkridge,Clean apt just for you | 2BR in Elkridge,5,2,No,2,2,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,126,https://www.airbnb.com/rooms/45289791?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
10,Entire serviced apartment,Elkridge,Clean apt just for you | 2BR in Elkridge,5,2,No,2,2,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,130,https://www.airbnb.com/rooms/45156616?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
11,Entire cabin,Swanton,"Cozy cabin w/ hot tub, lake access, screened porch, & firepit",10,3,No,8,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.68,22,170,https://www.airbnb.com/rooms/25127368?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
12,Entire house,Bowie,Beautiful Basement Apartment,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.88,114,68,https://www.airbnb.com/rooms/31537289?previous_page_section_name=1000&federated_search_id=8f4a43b5-0503-4c90-8e85-e1870bfb2481
