,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Baltimore,"Cozy Townhome close to JHU, MSU, and Loyola",2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.83,12,25,https://www.airbnb.com/rooms/28784798?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
1,Entire house,Baltimore,4 Blocks from Johns Hopkins-2 Beds / 2.5 Baths,4,2,No,2,2.5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,NaN,NaN,70,https://www.airbnb.com/rooms/45962929?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
2,Entire apartment,Lexington Park,"Luxury One Bed, Prime Location! Patuxent Suite",4,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.67,3,50,https://www.airbnb.com/rooms/41636734?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
3,Entire cottage,Saint Michaels,"La Casita on Harris Creek, St. Michaels",3,1,No,2,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,28,340,https://www.airbnb.com/rooms/31731609?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
4,Private room,Gaithersburg,Modern Private Room Gaithersburg-Kentlands area,1,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.92,38,33,https://www.airbnb.com/rooms/28777208?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
5,Private room,Baltimore,The Khalil at Fairway,1,1,No,1,2.5,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.84,19,12,https://www.airbnb.com/rooms/31949939?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
6,Private room,Baltimore,Charming Colonial 2Twn1Futon Rm  Historic District,2,1,No,2,1.5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,5.0,3,31,https://www.airbnb.com/rooms/38295735?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
7,Entire house,Bowie,Beautiful Basement Apartment,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.88,114,68,https://www.airbnb.com/rooms/31537289?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
8,Private room,Pocomoke City,The Far Land of Spare Oom,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.98,51,36,https://www.airbnb.com/rooms/26192020?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
9,Entire cottage,Clear Spring,Quick walk to Hagerstown Speedway,6,2,No,4,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,4.74,81,59,https://www.airbnb.com/rooms/34168452?previous_page_section_name=1000&federated_search_id=b0738205-1275-47e0-96e8-b6246211879c
