,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Washington,Close to Metro (Large Bedroom B + Private Bath),1,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,NaN,NaN,40,https://www.airbnb.com/rooms/37740370?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
1,Entire guest suite,Washington,"Sanitized, Stylish 1 BR/BA In DC NOMA Work Remote",3,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.93,254,93,https://www.airbnb.com/rooms/21754236?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
2,Entire condominium,Washington,Centrally Located Beautiful Condo,4,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.84,56,87,https://www.airbnb.com/rooms/41528513?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
3,Entire guest suite,Washington,Charming Pvt. Apt - Mins. to All - Start Here!,4,1,No,2,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4.94,294,80,https://www.airbnb.com/rooms/12794738?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
4,Private room,Washington,#2 good place,2,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.91,32,50,https://www.airbnb.com/rooms/38433378?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
5,Entire apartment,Washington,"Sunny, Private Garden Apartment in Shaw/U Street",2,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,5.0,3,80,https://www.airbnb.com/rooms/15063053?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
6,Entire apartment,Washington,Charming Historic Row-House Apt -Convention Center,3,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.83,193,71,https://www.airbnb.com/rooms/15967879?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
7,Entire guest suite,Washington,Bright newly renovated 1br in Capitol Hill,4,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,5.0,31,78,https://www.airbnb.com/rooms/43286567?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
8,Entire house,Washington,Private Two Bedroom Basement Unit,4,2,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.56,36,85,https://www.airbnb.com/rooms/29547128?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
9,Entire apartment,Washington,English Basement Apt in a Classic DC Neighborhood,5,1,No,1,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4.74,242,71,https://www.airbnb.com/rooms/13727764?previous_page_section_name=1000&federated_search_id=d7c4e7c7-9a96-4d68-a655-5257a77268bc
