,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire house,Crownsville,The Kayak House,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.92,128,124,https://www.airbnb.com/rooms/26081878?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
1,Private room,Laurel,"Spacious Gray Room, Close to Baltimore,DC,BWI",1,1,No,0,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,30,https://www.airbnb.com/rooms/46120939?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
2,Private room,"Montgomery Village, Maryland, US",Large bedroom with private bath,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.58,20,25,https://www.airbnb.com/rooms/14471905?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
3,Entire apartment,Upper Marlboro,Lady Kay's Place,4,2,No,2,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.67,3,120,https://www.airbnb.com/rooms/40089576?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
4,Entire chalet,Swanton,"New listing! Unique, dog-friendly chalet w/ a gas grill & private hot tub",8,3,No,4,2,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,4.53,17,236,https://www.airbnb.com/rooms/42070439?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
5,Entire house,Silver Spring,Home 3 BR 4Beds near DC Metro with Free Parking,4,3,No,4,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.57,7,120,https://www.airbnb.com/rooms/36111184?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
6,Private room,Silver Spring,Private room in townhouse/Metro Bus access,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.78,90,32,https://www.airbnb.com/rooms/30913000?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
7,Private room,Baltimore,A Living Canvas,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.90,10,42,https://www.airbnb.com/rooms/42237503?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
8,Private room,Millersville,Comfy Stay Near BWI,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.88,90,32,https://www.airbnb.com/rooms/18470759?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
9,Private room,Gaithersburg,Ideal space，Private room .,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,5.0,4,33,https://www.airbnb.com/rooms/33293720?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
10,Private room,Baltimore,Private bedrooms in Baltimore near JH,2,1,No,1,1.5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.50,4,27,https://www.airbnb.com/rooms/39298560?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
11,Private room,Baltimore,Beautiful Rowhome - Clean and Cozy (near JHH),2,1,No,1,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.93,15,35,https://www.airbnb.com/rooms/20417566?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
12,Shared room,Elkton,Mini couch heaven,1,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.65,65,17,https://www.airbnb.com/rooms/21189678?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
13,Entire townhouse,Baltimore,5 Apartment Exclusive for Grad and Med Students,2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.88,8,30,https://www.airbnb.com/rooms/17566210?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
14,Entire townhouse,Greenbelt,Lovely townhouse near UMD campus,4,2,No,1,1.5,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NaN,NaN,51,https://www.airbnb.com/rooms/45866135?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
15,Private room,Great Mills,PRIVATE BR + OFFICE/LV RM NEAR NAS PAX SHARED HSE,2,1,No,0,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,5.0,4,38,https://www.airbnb.com/rooms/34046134?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
16,Entire condominium,"13, Kentland",Close to Washington DC Attractions!,6,2,No,4,2,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,NaN,NaN,65,https://www.airbnb.com/rooms/45199770?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
17,Private room,Silver Spring,Master Bedroom / Private Bathroom newly renovated,2,1,No,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5.0,13,38,https://www.airbnb.com/rooms/44284873?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
18,Entire house,Beltsville,GOOD PLACE NICE & CLEAN NEAR TO DC ( BASEMENT ),2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,4.50,10,51,https://www.airbnb.com/rooms/45073061?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
19,Private room,Capitol Heights,Cozy Room in Urban Neighborhood minutes from DC,2,1,No,1,1,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,3.40,5,29,https://www.airbnb.com/rooms/35535745?previous_page_section_name=1000&federated_search_id=ecb4cfb1-c805-4799-94c6-c48509966fbf
