,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire townhouse,Washington,"Walk to Dwn Twn, in Heart of Shaw ✿ O Street Inn",6,3,No,4,2.5,Yes,No,No,No,No,No,No,No,No,No,No,No,5.0,22,325,https://www.airbnb.com/rooms/40160080?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
1,Entire townhouse,Washington,Eclectic Urban decor Twnhse  3 Br-2.5 Ba - Navy Yd,3,3,No,2,2.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,160,https://www.airbnb.com/rooms/6349541?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
2,Entire house,Washington,Capitol Hill luxury English basment,4,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.91,440,107,https://www.airbnb.com/rooms/3317645?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
3,Entire apartment,Washington,Big Bright 1 BR at U/Shaw + 14th on Quaint Swann,2,1,No,1,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4.90,81,66,https://www.airbnb.com/rooms/32726582?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
4,Private room,Washington,Liven executive suite,2,1,No,1,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4.95,64,99,https://www.airbnb.com/rooms/41400256?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
5,Private room,Washington,A Tranquil Oasis in Heart of Historic Mt. Pleasant,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.91,287,100,https://www.airbnb.com/rooms/16465485?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
6,Entire townhouse,Washington,DC Rowhome ✲ HUGE Roofdeck & Parking ✲ 3br | 2.5ba,8,3,No,3,2.5,Yes,No,No,No,No,No,No,No,No,No,No,No,NaN,NaN,253,https://www.airbnb.com/rooms/45993222?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
7,Entire apartment,Washington,Classic Capitol Charm w/Parking & Close to Metro,6,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.78,102,110,https://www.airbnb.com/rooms/31986507?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
8,Private room,Washington,Location...Location...(Metro 2 blocks),2,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.75,217,47,https://www.airbnb.com/rooms/8397296?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
9,Entire house,Washington,Modern and cozy home in Washington DC with parking,7,3,No,5,3,Yes,No,No,No,No,No,No,No,No,No,No,No,4.78,23,157,https://www.airbnb.com/rooms/45326130?previous_page_section_name=1000&federated_search_id=34b364fe-832a-4aaa-9378-b54ecea37774
