,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Shared room,Washington,"Perfect location, Clean bed, and Upscale set up",4,1,No,4,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5.0,4,28,https://www.airbnb.com/rooms/44539258?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
1,Private room,Washington,Cozy apartment  in the heart of Ivy City,1,1,No,1,1,No,No,No,No,No,Yes,No,No,Yes,No,No,No,5.0,8,54,https://www.airbnb.com/rooms/40544114?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
2,Private room,Washington,Red Line Train Penthouse Room,2,1,No,1,1,No,No,No,No,No,No,No,No,Yes,No,No,No,NaN,NaN,39,https://www.airbnb.com/rooms/46290856?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
3,Entire townhouse,Washington,Brand new english basement in D.C.,3,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.94,530,71,https://www.airbnb.com/rooms/11640393?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
4,Entire apartment,Washington,Renovated Basement 1BR Apt Private Entrance,2,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.65,48,50,https://www.airbnb.com/rooms/19625495?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
5,Entire townhouse,Washington,Lincoln Park Place/ Capitol Hill/ Cozy 1 Bdrm Apt,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5.0,12,63,https://www.airbnb.com/rooms/41377434?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
6,Entire guesthouse,Washington,Garage Mahal,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.60,287,31,https://www.airbnb.com/rooms/2091153?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
7,Entire guest suite,Washington,"Fresh, friendly Petworth apartment!",3,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.83,228,60,https://www.airbnb.com/rooms/12646701?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
8,Entire apartment,Washington,IN-HOUSE APARTMENT IN A QUIET STREET IN THE DC.,1,1,No,1,1,No,No,No,No,No,Yes,No,No,No,No,No,No,NaN,NaN,36,https://www.airbnb.com/rooms/45864959?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
9,Private room,Washington,"Cozy bedroom near Fort Totten, behind Catholic U",1,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.90,21,40,https://www.airbnb.com/rooms/41123506?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
10,Private room,Washington,Welcome to your DC Sanctuary!!,2,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,40,https://www.airbnb.com/rooms/46255727?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
11,Private room,Washington,"Private Bedroom, trendy neighborhood Bloomingdale.",1,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,NaN,NaN,49,https://www.airbnb.com/rooms/45718625?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
12,Shared room,Washington,Shared room close to everything,4,1,No,4,1,No,No,No,No,No,No,No,No,Yes,No,No,No,4.56,9,28,https://www.airbnb.com/rooms/44621574?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
13,Private room,Washington,Bedroom w/ full bath in shared 2BR/2BA modern apt,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,50,https://www.airbnb.com/rooms/45768551?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
14,Entire apartment,Washington,Stylish Urban Retreat,2,1,No,2,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,69,https://www.airbnb.com/rooms/45410552?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
15,Entire serviced apartment,Washington,Relax in comfort | 1BR in Washington,3,1,No,1,1,No,No,No,No,No,No,No,No,Yes,No,No,No,NaN,NaN,101,https://www.airbnb.com/rooms/45409311?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
16,Entire serviced apartment,Washington,Entire apartment for you | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,105,https://www.airbnb.com/rooms/45190827?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
17,Entire apartment,Washington,Ale’s private basement apartment w/kitchen in DC,6,1,No,2,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.88,41,75,https://www.airbnb.com/rooms/27372418?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
18,Entire guest suite,Washington,Brand new basement one bed near GTown University,2,1,No,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,4.72,27,79,https://www.airbnb.com/rooms/7660850?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
19,Entire serviced apartment,Washington,Entire apartment for you | Studio in Washington,1,NaN,Yes,1,1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,94,https://www.airbnb.com/rooms/45411345?previous_page_section_name=1000&federated_search_id=f1214137-4cad-42ad-a66e-f9118b257fc6
