,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Baltimore,"Bright and Vibrant Flat. 👑 Queen bed
❤️FREE PARKING",3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,119,https://www.airbnb.com/rooms/46242839?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
1,Entire serviced apartment,Columbia,Cozy apartment for you | 1BR in Columbia,3,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,NaN,NaN,112,https://www.airbnb.com/rooms/46301028?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
2,Private room,Silver Spring,master bedroom w/ private bath in prestigious home,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,33,https://www.airbnb.com/rooms/30951646?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
3,Entire house,Beltsville,GOOD PLACE NICE & CLEAN NEAR TO DC ( BASEMENT ),2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.50,10,51,https://www.airbnb.com/rooms/45073061?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
4,Entire apartment,Lexington Park,"Luxury, one bed, near PAX River! Potomac Suite",4,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.88,8,50,https://www.airbnb.com/rooms/41707407?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
5,Entire cabin,Dickerson,Cozy Cabin at Sugarloaf Mountain,2,NaN,Yes,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,121,89,https://www.airbnb.com/rooms/15582629?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
6,Entire guest suite,Gaithersburg,Newly Renovated Basement Apartment,2,1,No,NaN,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,60,https://www.airbnb.com/rooms/44629876?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
7,Private room,Aberdeen,The Clarity Room in Aberdeen,2,1,No,1,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.91,44,35,https://www.airbnb.com/rooms/27843327?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
8,Entire apartment,Baltimore,"Perfect for Tourists, Parents and Business Travel",2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.92,148,46,https://www.airbnb.com/rooms/18845631?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
9,Private room,Baltimore,1 luxury living for grad students,1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.55,11,18,https://www.airbnb.com/rooms/14437871?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
10,Private room,Camp Springs,Single bedroom with Private Bathroom near AAF Base,2,1,No,1,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,5.0,3,34,https://www.airbnb.com/rooms/40260871?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
11,Private room,Rockville,GREAT PLACE TO STAY IN ROCKVILLE,1,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.83,12,39,https://www.airbnb.com/rooms/39107636?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
12,Entire apartment,Parkville,Bright & spacious basement with private entrance,4,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,14,65,https://www.airbnb.com/rooms/39000181?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
13,Private room,Germantown,Cozy Room,1,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.97,35,30,https://www.airbnb.com/rooms/25613055?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
14,Entire house,North Beach,Crystal Cove Retreat | A Place of Zen,4,2,No,3,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.87,71,116,https://www.airbnb.com/rooms/35003481?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
15,Private room,Germantown,Home away from home,1,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.91,35,30,https://www.airbnb.com/rooms/24617898?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
16,Entire guesthouse,Smithsburg,Jewel Vinsota Artist's Guesthouse,6,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,276,83,https://www.airbnb.com/rooms/18253733?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
17,Private room,Odenton,R1 Key-less self check-in on modern Guest's TownH!,1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,39,https://www.airbnb.com/rooms/45786766?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
18,Private room,Baltimore,"Little cozy bedroom next JHH,fells Point",1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.64,72,38,https://www.airbnb.com/rooms/32832991?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
19,Entire house,Frederick,Private basement studio Apt.,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.88,8,35,https://www.airbnb.com/rooms/37811389?previous_page_section_name=1000&federated_search_id=c8e2f187-a33b-43dd-bcab-dea15ed7c08d
