,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire apartment,Staunton,Urban Boho Suite☀Self Check-In☀Kitchen☀Walk☀Netflix+,3,1,No,2,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.97,96,83,https://www.airbnb.com/rooms/35093817?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
1,Farm stay,Marshall,Le Poulet Palace,2,1,No,1,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.97,72,151,https://www.airbnb.com/rooms/22622599?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
2,Entire cabin,McDowell,Modern Cabin Retreat on 10 Acres w/ Trout Stream!,4,2,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,4.78,28,156,https://www.airbnb.com/rooms/26568284?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
3,Private room,Stanardsville,Secluded Tree House (Safety Protocol Listed Below),2,1,No,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.81,718,139,https://www.airbnb.com/rooms/886469?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
4,Tent,Gordonsville,Wolftrap Farm Glamping Tent #3 - Fully Furnished,2,1,No,1,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.93,30,66,https://www.airbnb.com/rooms/42989674?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
5,Entire guesthouse,Lynchburg,Welcome to Cozy Cottage: Relax. Explore. Retreat.,2,NaN,Yes,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.89,53,61,https://www.airbnb.com/rooms/38580457?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
6,Farm stay,Warrenton,Winters Retreat Farm Cottage - Entire house,4,1,No,1,1.5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4.99,128,73,https://www.airbnb.com/rooms/35702732?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
7,Entire house,Natural Bridge Station,Willow Cottage | Bright & Happy with Mountain View,7,3,No,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,5.0,24,150,https://www.airbnb.com/rooms/39317440?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
8,Entire guesthouse,Lexington,Spectacular Mountain views,2,1,No,1,1,No,Yes,No,No,No,No,No,No,No,No,No,No,5.0,165,189,https://www.airbnb.com/rooms/7891727?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
9,Entire chalet,Fairfield,Percy Chalet,4,2,No,2,1,No,Yes,No,No,No,No,No,No,No,No,No,No,4.93,29,194,https://www.airbnb.com/rooms/23986940?previous_page_section_name=1000&federated_search_id=f49d457d-9e89-409e-b61e-e5e1dc19215c
